doc_id,category,ground_truth_label,semantic_verdict,semantic_valid,font_verdict,font_max_zscore,metadata_verdict,threat_level,is_authentic
src_0008_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.51,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0009_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.45,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0010_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.61,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0011_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.81,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0012_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.75,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0013_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.3,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
src_0014_text_edit,tampered_text_edit,tampered,PASSED_SEMANTIC_AUDIT,True,TYPOGRAPHY_CONSISTENT,0.57,STRIPPED_OR_ABSENT,HIGH_SPATIAL_TAMPERING,False
boundary_01_impossible_calendar_feb30,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_02_impossible_calendar_apr31,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_03_chronology_issue_before_dob,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_04_chronology_expiry_before_issue,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_05_negative_age_at_issue,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_06_excessive_validity_30yrs,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_07_anachronistic_future_issue,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_08_invalid_doc_regex,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_09_placeholder_dummy_name,boundary_edge_case,tampered,SUSPECT_SEMANTIC_VIOLATION,False,NOT_APPLICABLE,0.0,NOT_APPLICABLE,SUSPECT_LOGICAL_CONTRADICTION,False
boundary_10_missing_fields_non_punitive,boundary_edge_case,authentic,PASSED_SEMANTIC_AUDIT,True,NOT_APPLICABLE,0.0,NOT_APPLICABLE,AUTHENTIC_MULTI_MODAL_CLEARANCE,True
