source_id,attack_type,label,ground_truth_bbox,ela_detected,ela_anomaly_score,ela_candidate_bbox,ela_iou,copy_move_detected,copy_move_inliers,copy_move_confidence,copy_move_bbox,copy_move_iou,fused_flagged,verdict_correct
src_0004,photo_swap,tampered,"[30, 80, 200, 260]",True,245.62,"[26, 234, 95, 256]",0.0466,False,21,0.0,,0.0,True,True
src_0004,copy_move,tampered,"[102, 317, 252, 467]",True,11309.29,"[96, 312, 256, 478]",0.8471,True,196,0.362,"[111, 323, 241, 459]",0.7858,True,True
src_0005,none,genuine,,False,0.0,,0.0,False,12,0.0,,0.0,False,True
src_0005,date_edit,tampered,"[228, 269, 312, 285]",True,352.72,"[227, 266, 312, 288]",0.7187,False,25,0.0,,0.0,True,True
src_0005,text_edit,tampered,"[228, 214, 345, 230]",True,143.7,"[241, 216, 289, 232]",0.3415,False,11,0.0,,0.0,True,True
src_0005,photo_swap,tampered,"[30, 80, 200, 260]",True,203.26,"[33, 240, 102, 256]",0.0361,False,14,0.0,,0.0,True,True
src_0005,copy_move,tampered,"[171, 329, 321, 479]",True,11077.63,"[168, 328, 328, 480]",0.9252,True,185,0.376,"[633, 325, 763, 459]",0.7625,True,True
src_0006,none,genuine,,False,0.0,,0.0,False,17,0.0,,0.0,False,True
src_0006,date_edit,tampered,"[228, 269, 312, 285]",True,424.89,"[230, 264, 312, 288]",0.656,False,14,0.0,,0.0,True,True
src_0006,text_edit,tampered,"[228, 104, 330, 120]",True,228.41,"[236, 104, 325, 120]",0.8725,False,15,0.0,,0.0,True,True
src_0006,photo_swap,tampered,"[30, 80, 200, 260]",True,320.09,"[33, 241, 128, 257]",0.0497,False,15,0.0,,0.0,True,True
src_0006,copy_move,tampered,"[93, 303, 243, 453]",True,12101.0,"[88, 296, 248, 456]",0.8789,True,225,0.403,"[633, 325, 757, 462]",0.7489,True,True
src_0007,none,genuine,,True,363.57,"[326, 104, 376, 120]",0.0,False,15,0.0,,0.0,True,False
src_0007,date_edit,tampered,"[448, 269, 532, 285]",True,363.57,"[326, 104, 376, 120]",0.0,False,17,0.0,,0.0,True,True
src_0007,text_edit,tampered,"[228, 214, 345, 230]",True,363.57,"[326, 104, 376, 120]",0.0,False,16,0.0,,0.0,True,True
src_0007,photo_swap,tampered,"[30, 80, 200, 260]",True,363.57,"[326, 104, 376, 120]",0.0,False,14,0.0,,0.0,True,True
src_0007,copy_move,tampered,"[133, 327, 283, 477]",True,13013.09,"[128, 323, 288, 480]",0.8957,True,221,0.384,"[138, 327, 271, 467]",0.8276,True,True
src_0008,none,genuine,,False,0.0,,0.0,False,17,0.0,,0.0,False,True
src_0008,date_edit,tampered,"[448, 269, 532, 285]",True,147.92,"[494, 264, 536, 288]",0.3486,False,17,0.0,,0.0,True,True
src_0008,text_edit,tampered,"[228, 214, 345, 230]",True,306.22,"[241, 214, 344, 232]",0.7931,False,14,0.0,,0.0,True,True
src_0008,photo_swap,tampered,"[30, 80, 200, 260]",True,565.88,"[30, 187, 127, 256]",0.2187,False,11,0.0,,0.0,True,True
src_0008,copy_move,tampered,"[49, 302, 199, 452]",True,11833.77,"[48, 296, 200, 456]",0.9252,True,325,0.443,"[52, 304, 191, 445]",0.8711,True,True
src_0009,none,genuine,,False,0.0,,0.0,False,12,0.0,,0.0,False,True
src_0009,date_edit,tampered,"[448, 269, 532, 285]",True,325.27,"[451, 264, 530, 288]",0.6397,False,13,0.0,,0.0,True,True
src_0009,text_edit,tampered,"[228, 214, 345, 230]",True,127.16,"[267, 216, 317, 231]",0.3642,False,12,0.0,,0.0,True,True
src_0009,photo_swap,tampered,"[30, 80, 200, 260]",True,541.6,"[28, 185, 128, 256]",0.2263,False,12,0.0,,0.0,True,True
src_0009,copy_move,tampered,"[88, 309, 238, 459]",True,5789.17,"[88, 304, 240, 384]",0.4806,True,251,0.413,"[93, 311, 224, 452]",0.8209,True,True
