doc_id,category,ground_truth_attack,predicted_attack,attack_confidence,decision,reliability,blur_score,suspicious_regions_count,is_correct_attack,is_false_alarm,card_path
src_0000,text_edit,text_edit,text_edit,0.61,SUSPECT_TAMPERING,HIGH,3559.26,1,True,False,
src_0001,text_edit,text_edit,text_edit,0.58,SUSPECT_TAMPERING,HIGH,3616.21,1,True,False,
src_0002,text_edit,text_edit,text_edit,0.61,SUSPECT_TAMPERING,HIGH,3575.12,1,True,False,
src_0003,text_edit,text_edit,text_edit,0.57,SUSPECT_TAMPERING,HIGH,3608.18,1,True,False,
src_0004,text_edit,text_edit,none,0.0,CLEAR_AUTHENTIC,HIGH,3613.1,1,False,False,
src_0005,text_edit,text_edit,text_edit,0.47,SUSPECT_TAMPERING,HIGH,3515.36,1,True,False,
src_0006,text_edit,text_edit,text_edit,0.58,SUSPECT_TAMPERING,HIGH,3558.83,1,True,False,
src_0007,text_edit,text_edit,none,0.0,CLEAR_AUTHENTIC,HIGH,3635.27,1,False,False,
src_0008,text_edit,text_edit,text_edit,0.61,SUSPECT_TAMPERING,HIGH,3586.52,1,True,False,
src_0009,text_edit,text_edit,text_edit,0.6,SUSPECT_TAMPERING,HIGH,3579.83,1,True,False,
src_0010,text_edit,text_edit,text_edit,0.43,SUSPECT_TAMPERING,HIGH,3494.81,1,True,False,
src_0011,text_edit,text_edit,text_edit,0.61,SUSPECT_TAMPERING,HIGH,3562.74,1,True,False,
src_0012,text_edit,text_edit,text_edit,0.52,SUSPECT_TAMPERING,HIGH,3523.29,1,True,False,
src_0013,text_edit,text_edit,text_edit,0.53,SUSPECT_TAMPERING,HIGH,3557.97,1,True,False,
src_0014,text_edit,text_edit,none,0.0,CLEAR_AUTHENTIC,HIGH,3564.55,1,False,False,
src_0000,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3565.26,1,True,False,
src_0001,photo_swap,photo_swap,photo_swap,0.71,SUSPECT_TAMPERING,HIGH,3623.3,1,True,False,
src_0002,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3560.48,1,True,False,
src_0003,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3622.59,1,True,False,
src_0004,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3633.86,1,True,False,
src_0005,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3539.81,1,True,False,
src_0006,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3586.75,1,True,False,
src_0007,photo_swap,photo_swap,photo_swap,0.71,SUSPECT_TAMPERING,HIGH,3678.03,1,True,False,
src_0008,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3589.48,1,True,False,
src_0009,photo_swap,photo_swap,photo_swap,0.95,SUSPECT_TAMPERING,HIGH,3611.14,1,True,False,
src_0000,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4048.18,3,True,False,
src_0001,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4116.75,3,True,False,
src_0002,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4067.35,3,True,False,
src_0003,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4092.05,3,True,False,
src_0004,copy_move,copy_move,copy_move,0.91,SUSPECT_TAMPERING,HIGH,4098.46,3,True,False,
src_0005,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,3996.59,3,True,False,
src_0006,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4056.29,3,True,False,
src_0007,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4138.07,3,True,False,
src_0008,copy_move,copy_move,copy_move,0.93,SUSPECT_TAMPERING,HIGH,4082.6,3,True,False,
src_0009,copy_move,copy_move,copy_move,0.92,SUSPECT_TAMPERING,HIGH,4083.58,3,True,False,
degraded_sample_0,degraded_blurry,none,none,0.0,INSUFFICIENT_EVIDENCE,LOW,3.23,0,True,False,
degraded_sample_1,degraded_blurry,none,none,0.0,INSUFFICIENT_EVIDENCE,LOW,2.49,0,True,False,
degraded_sample_2,degraded_blurry,none,none,0.0,INSUFFICIENT_EVIDENCE,LOW,1.75,0,True,False,
degraded_sample_3,degraded_blurry,none,none,0.0,INSUFFICIENT_EVIDENCE,LOW,1.42,0,True,False,
degraded_sample_4,degraded_blurry,none,none,0.0,INSUFFICIENT_EVIDENCE,LOW,1.26,0,True,False,
